Name,Country,City / HQ,Founded,Category,Customer Focus,Revenue Tier,Revenue,EBITDA,Investment,Gov-linked,Product / Tool,Pricing,Website,News / Blog,Notes,Comments
Offensity,Austria,Vienna,2018,PenTest/PTaaS,"Enterprise, SMB",< $50 M / Undisclosed,Not disclosed (product within A1 Digital),Not disclosed,"Internal product of A1 Digital International GmbH; part of A1 Group (Austria's largest telecom, ~€4.7B revenue); no external VC funding",,Offensity — automated continuous external vulnerability scanner; SSL/TLS cert monitoring; dark web credential leak detection,"Free (€0, limited); Starter €49/mo; Professional €389/mo; Enterprise custom",https://www.offensity.com/en/,https://www.offensity.com/en/blog/,"Emerged from A1's internal intrapreneurship program after the 2017 Apache Struts incident; 20,000+ scanning hours/month; 10,000+ continuously monitored target systems; agentless external-only scanning — no installation required; pricing: Free → Starter €49/mo → Professional €389/mo → Enterprise custom; distributed via A1 Digital and Arrow ECS Switzerland; co-founders: Aron Molnar, Daniel Endresz, Philipp Mirtl",
Aikido Security,Belgium,Ghent,2022,PenTest/AppSec,"SMB, Enterprise, Developers",< $50 M / Undisclosed,"$20 M ARR (Jan 2025); 1,531% YoY growth; targeting $60 M ARR FY2026",Pre-profit,"$93.2M total — $5M seed, $17M Series A (2024, Singular/Notion Capital), $60M Series B (Jan 2026, DST Global); $1B valuation — Belgian unicorn; fastest EU cybersecurity startup to unicorn",,Aikido Unified AppSec Platform — SAST + SCA + DAST + Container + CSPM + Secrets + IaC (15+ scanners),"Free tier; Basic $350/mo (10 devs); Pro $700/mo; Advanced $1,050/mo; Enterprise custom",https://www.aikido.dev,https://www.aikido.dev/blog,"DAST 'Surface Monitoring' dynamically tests web apps and APIs; 100,000+ teams incl. Revolut, Niantic, Premier League; founded Ghent 2022; Europe's first cybersecurity unicorn of 2026; fastest-ever Belgian startup to unicorn",
Intigriti,Belgium,Antwerp,2016,PenTest/PTaaS,"Enterprise, Government",$50 M – $200 M,"€28.1M (~$30M, FY2024, confirmed — Belgian registry); ~€17M (FY2023 est.)",Not disclosed,"$23 M raised (2022); 100+ employees (Belgium, UK, Netherlands, South Africa)",,Intigriti Platform — Bug Bounty + VDP + Hybrid Pentest + ASM,VDP from ~€499/mo; bug bounty programs custom per scope,https://www.intigriti.com,https://www.intigriti.com/blog,"Europe's leading bug bounty platform; 125,000+ ethical hackers; €60M+ in bug bounties rewarded; won European Commission bug bounty tender; CREST accredited; hybrid pentest: crowdsourced hackers + professional pen testers",
WiseBee,Bulgaria,Sofia,2024,PenTest/PTaaS,"Enterprise, SMB",< $50 M / Undisclosed,Not disclosed (pre-revenue / early stage),Pre-profit,"$2.5M pre-seed (Aug 2025, Frontline Ventures + BrightCap Ventures)",,"WiseBee — autonomous cyber defense platform: attack surface management, vendor risk management, AI-powered autonomous threat detection and remediation",Custom / contact sales (per org size),https://wisebee.ai/,https://wisebee.ai/blog,"US-Bulgarian co-HQ (New York + Sofia); founded by Stoyan Stoyanov (CEO) and Taha Kazi (CDO); autonomous AI agents monitor, detect, and neutralise threats for mid-market organisations; customers include a Bulgarian bank, pan-European fintech (DORA-regulated), US local government, and a global fintech unicorn; targets the gap between enterprise-grade MDR and SMB budgets",
Penetrify,Czech Republic,Brno,2025,PenTest/PTaaS,"Enterprise, SMB, Developers",< $50 M / Undisclosed,Not disclosed (beta / launch phase),Pre-profit,Not disclosed (no public funding announced at launch),,Penetrify — fully autonomous AI red team for continuous security testing,From ~$50/mo; higher tiers custom,https://www.penetrify.cloud/,https://www.penetrify.cloud/blog,"AI agents ""reason like human hackers"" — map attack surfaces, chain vulnerabilities, exploit them, and generate production-ready code fixes; integrates into CI/CD (GitHub, GitLab, cloud); pricing from $50/month vs. tens of thousands for manual pentests; awarded Best AI Penetration Testing Platform Central Europe 2026; announced March 2026",
Validato,EU,Netherlands (est.),2023,BAS/CTEM,"SMB, Enterprise, Financial sector",< $50 M / Undisclosed,Not disclosed (early stage),Pre-profit,Early-stage; EU-native continuous security validation startup,,Validato — Continuous security validation platform for DORA/NIS2 compliance,Not disclosed / contact sales (early stage),https://validato.io,https://validato.io/blog,EU-native continuous security validation startup positioning automated continuous testing as a DORA and NIS2 compliance tool; targets EU financial sector and regulated SMBs; direct competitor to Velgard in the EU regulated SMB market; early stage; product details limited at time of writing (Jun 2026),
WithSecure,Finland,Helsinki,1988,Defense/Endpoint,"Enterprise, SMB",$200 M – $1 B,EUR ~147–150M (FY2024),Not disclosed,Public (Nasdaq Helsinki: WITH),,WithSecure Elements — EDR + MDR + Cloud Protection + Vulnerability Management + Exposure Management,,https://www.withsecure.com,https://www2.withsecure.com/en/whats-new/pressroom,"Finnish cybersecurity company (formerly F-Secure Business Security); demerged from F-Secure in 2022; co-security methodology — co-develops products with customers; Elements platform covers endpoint, cloud, vulnerability management; 3,000+ partner organizations; Helsinki-listed",
Arsen,France,Paris,2020,PenTest/AppSec,"Enterprise, SMB",< $50 M / Undisclosed,Not disclosed (early revenue stage),Pre-profit,VC backed; undisclosed seed round,,Arsen Platform — automated phishing simulation & social engineering testing,Custom / contact sales (per employee count),https://arsen.co,https://arsen.co/blog,Automated social engineering testing platform; AI-powered phishing campaigns simulating real attacker techniques; behavioral analytics measuring employee susceptibility; GDPR-compliant; used by financial institutions and enterprises across France; NIS2 awareness compliance tool,
Escape,France,Paris,2021,PenTest/AppSec,"Enterprise, Developers",< $50 M / Undisclosed,"Not disclosed (early revenue stage); 2,000+ enterprise teams",Pre-profit,"~$20M+ total — seed 2022 (Eutopia, Frst Capital) + $18M Series A (Mar 2026, Balderton Capital + Y Combinator); YC-backed",,"Escape — AI-driven DAST, API security testing + offensive pentesting agents",Tiered by API count; available on AWS Marketplace; contact sales,https://escape.tech,https://escape.tech/blog/,"AI-powered API security testing platform with automated DAST for GraphQL and REST APIs; offensive pentesting agents find business logic vulnerabilities and OWASP API Top 10; CI/CD integration; YC-backed; Series A $18M led by Balderton Capital (Mar 2026); 2,000+ enterprise teams; founded by former Airbus team; one of fastest-growing EU offensive security startups",
Filigran,France,Paris,2022,PenTest/AppSec,"Enterprise, Government, MSSP",$50 M – $200 M,"€2M ARR (FY2023, confirmed); ~€10M ARR (FY2024 est.); ~$20M (FY2025, Latka); €100M ARR target by 2028",Pre-profit,"$58 M Series C (Oct 2025, Eurazeo, Deutsche Telekom T.Capital, Accel, Insight Partners); >$100 M total raised; ~223 employees",,OpenBAS / OpenAEV — open-source Breach & Attack Simulation (BAS) platform,Free open-source (self-hosted OpenCTI/OpenBAS); Enterprise SaaS custom,https://filigran.io,https://filigran.io/newsroom/,"Owns OpenCTI (CTI) + OpenBAS/OpenAEV (BAS / Adversarial Exposure Validation); 6,000+ deployments incl. FBI and European Commission; MITRE ATT&CK aligned; full kill chain adversary emulation + crisis exercises",
